peak	gene	distance	peak_type
chr1_1186050_1186804	C1QTNF12	-3949	distal
chr1_1195419_1195989	UBE2J2	13117	distal
chr1_1208196_1210134	UBE2J2	0	promoter
chr1_1225543_1225944	SCNN1D	8055	distal
chr1_1227112_1227680	SCNN1D	9624	distal
chr1_1229186_1229353	ACAP3	9287	distal
chr1_1235414_1235739	ACAP3	2901	distal
chr1_1237384_1237682	ACAP3	958	distal
chr1_1240243_1245092	ACAP3;PUSL1	0;0	promoter;promoter
chr1_1259518_1261101	CPTP;INTS11	0;0	promoter;promoter
chr1_1273096_1273444	DVL1;TAS1R3	0;6403	distal;distal
chr1_1283501_1285550	DVL1	0	promoter
chr1_1288177_1291245	MXRA8	2670	distal
chr1_1293780_1294993	MXRA8	0	promoter
chr1_1306260_1308160	AURKAIP1	2377	distal
chr1_1309727_1311464	AURKAIP1	0	promoter
chr1_1333761_1335955	CCNL2	0	promoter
chr1_1337349_1337752	CCNL2;MRPL20	-2653;0	distal;distal
chr1_1341841_1343512	MRPL20	0	promoter
chr1_1355367_1355686	ANKRD65	785	distal
chr1_1361992_1362697	TMEM88B	485	distal
chr1_1369544_1371455	VWA1	0	promoter
chr1_1376188_1376703	VWA1	5138	distal
chr1_1397584_1398307	ATAD3B;ATAD3C	-8842;0	distal;distal
chr1_1406128_1407777	ATAD3B	0	promoter
chr1_1440020_1441296	ATAD3A	-6235	distal
chr1_1446331_1448134	ATAD3A	0	promoter
chr1_1475401_1476413	TMEM240	0	promoter
chr1_1509104_1511043	SSU72	0	promoter
chr1_1534807_1536086	C1orf233	0	promoter
chr1_1542252_1542997	C1orf233	-6777	distal
chr1_1549466_1552478	MIB2	0	promoter
chr1_1557463_1557504	MIB2	4524	distal
chr1_1562866_1567952	MIB2;MMP23B	0;0	distal;promoter
chr1_1589991_1591112	CDK11B;SLC35E2B	0;0	promoter;distal
chr1_1597102_1597503	CDK11B;SLC35E2B	-6630;0	distal;distal
chr1_1608783_1610737	SLC35E2B	13346	distal
chr1_1617640_1618158	SLC35E2B	5925	distal
chr1_1623615_1625138	SLC35E2B	0	promoter
chr1_1655240_1656406	CDK11A;SLC35E2	0;0	promoter;distal
chr1_1660191_1660381	CDK11A;SLC35E2	-4429;0	distal;distal
chr1_1677661_1678929	SLC35E2	-224	promoter
chr1_1690360_1690601	NADK;SLC35E2	0;-12923	distal;distal
chr1_1695568_1696763	NADK	13146	distal
chr1_1706845_1707636	NADK	2273	distal
chr1_1709138_1714971	NADK	0	promoter
chr1_1727898_1728268	GNB1;NADK	0;-16391	distal;distal
chr1_1765487_1765749	GNB1;NADK	0;-53980	distal;distal
chr1_1773017_1773520	GNB1	48975	distal
chr1_1780743_1780944	GNB1	41551	distal
chr1_1788474_1789165	GNB1	33330	distal
chr1_1789990_1790519	GNB1	31976	distal
chr1_1792311_1792737	GNB1	29758	distal
chr1_1797519_1797562	GNB1	24933	distal
chr1_1800760_1801557	GNB1	20938	distal
chr1_1809370_1809670	GNB1	12825	distal
chr1_1812786_1812800	GNB1	9695	distal
chr1_1814971_1815632	GNB1	6863	distal
chr1_1817723_1818088	GNB1	4407	distal
chr1_1819798_1823912	GNB1	0	promoter
chr1_1837535_1838305	CALML6	-7961	distal
chr1_1838905_1839161	CALML6	-7105	distal
chr1_1839747_1841435	CALML6	-4831	distal
chr1_1849858_1853810	CFAP74;TMEM52	0;0	distal;promoter
chr1_1875358_1875790	CFAP74;TMEM52	0;-24647	distal;distal
chr1_1891450_1891832	CFAP74;TMEM52	0;-40739	distal;distal
chr1_1927608_1928030	CFAP74	7246	distal
chr1_1950663_1951162	GABRD	0	promoter
chr1_1975899_1976894	GABRD	25057	distal
chr1_1977855_1978283	PRKCZ	-26618	distal
chr1_1980878_1982821	PRKCZ	-22080	distal
chr1_2023038_2023419	PRKCZ	18138	distal
chr1_2043799_2044358	PRKCZ	38899	distal
chr1_2046663_2047050	PRKCZ	41763	distal
chr1_2058198_2059158	PRKCZ	53298	distal
chr1_2063716_2065705	AL590822.2;PRKCZ	-55532;0	distal;distal
chr1_2069009_2069033	AL590822.2;PRKCZ	-52204;0	distal;distal
chr1_2071106_2071784	AL590822.2;PRKCZ	-49453;0	distal;distal
chr1_2074184_2074708	AL590822.2;PRKCZ	-46529;0	distal;distal
chr1_2077643_2078426	AL590822.2;PRKCZ	-42811;0	distal;distal
chr1_2079932_2080908	AL590822.2;PRKCZ	-40329;0	distal;distal
chr1_2082106_2083395	AL590822.2;PRKCZ	-37842;0	distal;distal
chr1_2084400_2084709	AL590822.2;PRKCZ	-36528;0	distal;distal
chr1_2105669_2106188	AL590822.2;PRKCZ	-15049;0	distal;distal
chr1_2120473_2121958	AL590822.2;FAAP20	0;0	promoter;distal
chr1_2123491_2123615	AL590822.2;FAAP20	2255;0	distal;distal
chr1_2125605_2127394	FAAP20	0	promoter
chr1_2130087_2131450	FAAP20	-3874	distal
chr1_2135402_2137513	AL590822.1	8107	distal
chr1_2143724_2144922	AL590822.1	698	distal
chr1_2155485_2156591	SKI	-3543	distal
chr1_2157922_2175414	SKI	0	promoter
chr1_2176830_2188699	SKI	16697	distal
chr1_2189570_2192011	SKI	29437	distal
chr1_2206862_2208137	SKI	46729	distal
chr1_2219761_2220172	AL589739.1;SKI	-38409;0	distal;distal
chr1_2221333_2223290	AL589739.1;SKI	-35291;0	distal;distal
chr1_2227745_2227920	AL589739.1;SKI	-30661;0	distal;distal
chr1_2228988_2233831	AL589739.1;SKI	-24750;0	distal;distal
chr1_2236138_2237226	AL589739.1;SKI	-21355;0	distal;distal
chr1_2241852_2247724	AL589739.1	-10857	distal
chr1_2312929_2314319	MORN1	8827	distal
chr1_2322334_2323918	MORN1;RER1	0;0	promoter;promoter
chr1_2343247_2348371	PEX10	0	promoter
chr1_2398597_2399819	PLCH2	0	promoter
chr1_2425133_2425890	PLCH2	17380	distal
chr1_2426988_2428172	PLCH2	19235	distal
chr1_2430876_2432019	PLCH2	23123	distal
chr1_2454738_2456250	PANK4	1817	distal
chr1_2457029_2458855	PANK4	0	promoter
chr1_2460360_2462444	HES5	0	promoter
chr1_2470734_2471194	HES5	-9051	distal
chr1_2472025_2472721	HES5	-10342	distal
chr1_2473334_2473358	HES5	-11651	distal
chr1_2474808_2481219	TNFRSF14	-6442	distal
chr1_2486085_2489115	TNFRSF14	0	promoter
chr1_2493295_2493793	TNFRSF14	5491	distal
chr1_2501920_2502027	TNFRSF14	14116	distal
chr1_2507279_2508188	FAM213B	-10001	distal
chr1_2508720_2510512	FAM213B	-7677	distal
chr1_2513077_2513500	FAM213B	-4689	distal
chr1_2515299_2519189	FAM213B	0	promoter
chr1_2573594_2575341	MMEL1;TTC34	-9166;0	distal;distal
chr1_2688865_2689278	TTC34	16952	distal
chr1_2703137_2703603	TTC34	2627	distal
chr1_2705630_2705827	TTC34	403	distal
chr1_2718085_2718563	TTC34	0	promoter
chr1_2738497_2738916	TTC34	-20216	distal
chr1_2756487_2757435	TTC34	-38206	distal
chr1_2811166_2811609	TTC34	-92885	distal
chr1_2843131_2844335	ACTRT2	-93712	distal
chr1_2929294_2929362	ACTRT2	-8685	distal
chr1_2949438_2950212	ACTRT2	11392	distal
chr1_3229731_3229891	ARHGEF16;PRDM16	-141099;0	distal;distal
chr1_3232995_3233741	ARHGEF16;PRDM16	-137249;0	distal;distal
chr1_3236561_3236729	ARHGEF16;PRDM16	-134261;0	distal;distal
chr1_3288899_3289311	ARHGEF16;PRDM16	-81679;0	distal;distal
chr1_3341299_3341577	ARHGEF16;PRDM16	-29413;0	distal;distal
chr1_3369638_3370189	ARHGEF16	-801	promoter
chr1_3370764_3371812	ARHGEF16	0	promoter
chr1_3400411_3400789	ARHGEF16	16877	distal
chr1_3407521_3408461	ARHGEF16;MEGF6	23987;0	distal;distal
chr1_3447050_3448654	MEGF6	0	promoter
chr1_3481744_3482198	MEGF6	-33733	distal
chr1_3513976_3514512	MEGF6	13547	distal
chr1_3527243_3528884	MEGF6	0	promoter
chr1_3531755_3532075	MEGF6	-3697	distal
chr1_3535286_3536258	TPRG1L	-5308	distal
chr1_3537617_3538017	TPRG1L	-3549	distal
chr1_3540059_3542480	TPRG1L	0	promoter
chr1_3546854_3547053	TPRG1L	5241	distal
chr1_3566031_3569635	TP73;WRAP73	0;0	promoter;promoter
chr1_3582606_3583462	TP73	13478	distal
chr1_3585315_3585863	TP73	-13067	distal
chr1_3589872_3590256	TP73	-8674	distal
chr1_3593484_3595943	TP73	-2987	distal
chr1_3612132_3612593	TP73	-2029	distal
chr1_3640907_3641380	TP73	26286	distal
chr1_3663272_3664329	CCDC27	-4633	distal
chr1_3688213_3690187	SMIM1	0	promoter
chr1_3692039_3692946	SMIM1	2689	distal
chr1_3703844_3704469	LRRC47	8599	distal
chr1_3710115_3710704	LRRC47	2364	distal
chr1_3712423_3713750	LRRC47	0	promoter
chr1_3717946_3718341	LRRC47	-4879	distal
chr1_3726920_3726972	LRRC47	-13853	distal
chr1_3759726_3759835	CEP104	13928	distal
chr1_3773019_3774837	CEP104;DFFB	0;0	promoter;promoter
chr1_3799800_3800739	C1orf174;DFFB	16110;0	distal;distal
chr1_3806438_3808088	C1orf174	8761	distal
chr1_3815953_3820305	C1orf174	0	promoter
chr1_3823847_3824108	C1orf174	-6999	distal
chr1_3827285_3827817	C1orf174	-10437	distal
chr1_3838686_3839274	C1orf174	-21838	distal
chr1_4067032_4068119			intergenic
chr1_4087554_4088017			intergenic
chr1_4698349_4698764	AJAP1	-16028	distal
chr1_4712672_4712986	AJAP1	-1806	distal
chr1_4796283_4796684	AJAP1	81179	distal
chr1_4856480_4856873	AJAP1	141376	distal
chr1_5448758_5449650			intergenic
chr1_5542010_5542232			intergenic
chr1_5569949_5570272			intergenic
chr1_5726911_5727713			intergenic
chr1_5805896_5806147			intergenic
chr1_6035196_6035820	KCNAB2;NPHP4	-15706;0	distal;distal
chr1_6040502_6040879	KCNAB2;NPHP4	-10647;0	distal;distal
chr1_6051256_6055356	KCNAB2;NPHP4	0;0	promoter;promoter
chr1_6061461_6063331	KCNAB2	8701	distal
chr1_6065324_6066050	KCNAB2	12564	distal
chr1_6072937_6073527	KCNAB2	-12546	distal
chr1_6074658_6075221	KCNAB2	-10852	distal
chr1_6085287_6089067	KCNAB2	0	promoter
chr1_6094465_6094914	KCNAB2	123	distal
chr1_6101547_6101818	AL035406.1;KCNAB2	-149;0	promoter;distal
chr1_6112504_6112876	KCNAB2	6331	distal
chr1_6116178_6117078	KCNAB2	10005	distal
chr1_6118733_6119003	KCNAB2	12560	distal
chr1_6159733_6161529	KCNAB2	53560	distal
chr1_6168846_6169302	CHD5;KCNAB2	0;62673	distal;distal
chr1_6183153_6183494	CHD5	56689	distal
chr1_6187569_6188366	CHD5	51817	distal
chr1_6208504_6209247	CHD5	30936	distal
chr1_6240425_6240508	CHD5	-243	promoter
chr1_6258887_6260377	RPL22	0	promoter
chr1_6264964_6266762	RNF207	0	promoter
chr1_6268704_6270061	RNF207	2469	distal
chr1_6295301_6296672	ICMT	0	promoter
chr1_6304974_6307351	HES3	723	distal
chr1_6319709_6322016	GPR153	0	promoter
chr1_6354090_6355380	ACOT7;GPR153	0;-33056	distal;distal
chr1_6403433_6403912	ACOT7	15492	distal
chr1_6407935_6409525	ACOT7	9879	distal
chr1_6418286_6420420	ACOT7	0	promoter
chr1_6423141_6423565	ACOT7	-2375	distal
chr1_6425057_6425674	ACOT7	-4291	distal
chr1_6452506_6454588	ACOT7	0	promoter
chr1_6461711_6462195	ACOT7	-7261	distal
chr1_6464671_6465158	ACOT7	-10221	distal
chr1_6474384_6474755	HES2	5208	distal
chr1_6479631_6481066	HES2	0	promoter
chr1_6483432_6485382	ESPN;HES2	0;0	promoter;promoter
chr1_6497862_6498608	ESPN	-9495	distal
chr1_6500127_6501107	ESPN	-6996	distal
chr1_6505155_6505576	ESPN	-2527	distal
chr1_6507054_6509784	ESPN	0	promoter
chr1_6514760_6515675	ESPN	6658	distal
chr1_6519563_6521205	ESPN;TNFRSF25	0;4962	distal;distal
chr1_6523689_6526799	PLEKHG5;TNFRSF25	0;0	distal;promoter
chr1_6535422_6536164	PLEKHG5;TNFRSF25	0;-9168	distal;distal
chr1_6545599_6547141	PLEKHG5	0	promoter
chr1_6549685_6551466	PLEKHG5	0	promoter
chr1_6557061_6558046	PLEKHG5	0	promoter
chr1_6605543_6606124	NOL9	8471	distal
chr1_6613931_6615130	NOL9	0	promoter
chr1_6639297_6642739	TAS1R1;ZBTB48	0;0	distal;promoter
chr1_6651184_6651905	KLHL21	11024	distal
chr1_6659308_6664378	KLHL21	0	promoter
chr1_6672616_6675665	KLHL21;PHF13	0;0	promoter;promoter
chr1_6684580_6686227	THAP3	0	promoter
chr1_6694648_6695039	DNAJC11;THAP3	0;9397	distal;distal
chr1_6706498_6707005	DNAJC11;THAP3	0;21247	distal;distal
chr1_6761145_6762523	DNAJC11	0	promoter
chr1_6780003_6780480	DNAJC11	-18020	distal
chr1_6787491_6787929	DNAJC11	-25508	distal
chr1_6801934_6802461	DNAJC11	-39951	distal
chr1_6802978_6804366	DNAJC11	-40995	distal
chr1_6805170_6805609	CAMTA1	-39775	distal
chr1_6843969_6846820	CAMTA1	0	promoter
chr1_6949996_6950320	CAMTA1	104419	distal
chr1_7022301_7023739	CAMTA1	176724	distal
chr1_7707339_7707616	CAMTA1	-97405	distal
chr1_7727516_7728218	CAMTA1	-76803	distal
chr1_7729464_7730096	CAMTA1	-74925	distal
chr1_7740062_7741282	CAMTA1	-63739	distal
chr1_7763897_7766057	CAMTA1	-38964	distal
chr1_7788909_7789233	CAMTA1	-15788	distal
chr1_7812851_7813335	CAMTA1	7831	distal
chr1_7830539_7832285	VAMP3	0	promoter
chr1_7841516_7842648	PER3	-1732	distal
chr1_7843150_7844869	PER3	0	promoter
chr1_7846889_7847204	PER3	2127	distal
chr1_7868343_7868620	PER3	23581	distal
chr1_7887284_7887448	PER3;UTS2	0;25647	distal;distal
chr1_7962703_7963220	TNFRSF9	37706	distal
chr1_7975901_7976251	TNFRSF9	24675	distal
chr1_7989715_7991819	TNFRSF9	9107	distal
chr1_8000686_8003395	TNFRSF9	0	promoter
chr1_8008999_8009630	TNFRSF9	-5775	distal
chr1_8013664_8014914	PARK7	-6809	distal
chr1_8020460_8022517	PARK7	0	promoter
chr1_8035314_8035715	PARK7	13286	distal
chr1_8042264_8042821	PARK7	20236	distal
chr1_8064867_8065536	ERRFI1	10157	distal
chr1_8075025_8075462	ERRFI1	231	distal
chr1_8080090_8080471	ERRFI1	-4398	distal
chr1_8085493_8087230	ERRFI1	0	promoter
chr1_8091267_8091369	ERRFI1	-4900	distal
chr1_8156780_8157787	ERRFI1	-70413	distal
chr1_8164544_8165132	ERRFI1	-78177	distal
chr1_8166792_8167324	ERRFI1	-80425	distal
chr1_8181083_8181443	ERRFI1	-94716	distal
chr1_8186977_8187839	ERRFI1	-100610	distal
chr1_8209865_8210074	ERRFI1	-123498	distal
chr1_8212386_8213878	ERRFI1	-126019	distal
chr1_8227393_8227596	ERRFI1	-141026	distal
chr1_8229487_8230435	ERRFI1	-143120	distal
chr1_8242179_8243230	SLC45A1	-134656	distal
chr1_8264415_8264834	SLC45A1	-113052	distal
chr1_8271545_8272390	SLC45A1	-105496	distal
chr1_8277139_8277859	SLC45A1	-100027	distal
chr1_8278629_8279239	SLC45A1	-98647	distal
chr1_8284670_8285545	SLC45A1	-92341	distal
chr1_8343496_8343653	SLC45A1	-34233	distal
chr1_8374343_8374792	SLC45A1	-3094	distal
chr1_8377821_8378937	SLC45A1	0	promoter
chr1_8408823_8409486	SLC45A1	24434	distal
chr1_8411715_8412137	SLC45A1	27326	distal
chr1_8442915_8443632	RERE	40094	distal
chr1_8448076_8448548	RERE	35178	distal
chr1_8455265_8456135	RERE	27591	distal
chr1_8457040_8457988	RERE	25738	distal
chr1_8469133_8469708	RERE	14018	distal
chr1_8482491_8485260	RERE	0	promoter
chr1_8487271_8488463	RERE	-3546	distal
chr1_8490848_8491505	RERE	-7123	distal
chr1_8498912_8499408	RERE	-15187	distal
chr1_8517827_8518235	RERE	-34102	distal
chr1_8523391_8523462	RERE	-39666	distal
chr1_8532692_8533053	RERE	-48967	distal
chr1_8536069_8536545	RERE	49453	distal
chr1_8555963_8557955	RERE	28043	distal
chr1_8570039_8570720	RERE	15278	distal
chr1_8577165_8577229	RERE	8769	distal
chr1_8580671_8580800	RERE	5198	distal
chr1_8583731_8584109	RERE	1889	distal
chr1_8585200_8586516	RERE	0	promoter
chr1_8593357_8593433	RERE	-7360	distal
chr1_8621073_8621535	RERE	-35076	distal
chr1_8664408_8664740	RERE	51690	distal
chr1_8683741_8684060	RERE	32370	distal
chr1_8689423_8690294	RERE	26136	distal
chr1_8723957_8724549	RERE	-7528	distal
chr1_8731336_8731735	RERE	-14907	distal
chr1_8760972_8761972	RERE	-44543	distal
chr1_8762916_8763943	RERE	-46487	distal
chr1_8772559_8773215	RERE	-56130	distal
chr1_8786560_8786928	RERE	-70131	distal
chr1_8876688_8878672	RERE	0	promoter
chr1_8889487_8890054	RERE	-11786	distal
chr1_8908821_8909370	ENO1	29375	distal
chr1_8918139_8918626	ENO1	20119	distal
chr1_8919263_8920083	ENO1	18662	distal
chr1_8922475_8923081	ENO1	15664	distal
chr1_8931029_8931993	ENO1	6752	distal
chr1_8933489_8934443	ENO1	4302	distal
chr1_8935341_8940517	ENO1	0	promoter
chr1_8949926_8950415	ENO1	-10618	distal
chr1_8951869_8952200	ENO1	-12561	distal
chr1_8959851_8960436	ENO1	-20543	distal
chr1_8968367_8968775	ENO1	-29059	distal
chr1_8978064_8978589	CA6	-27352	distal
chr1_8985550_8985819	CA6	-20122	distal
chr1_8986797_8987655	CA6	-18286	distal
chr1_9006484_9007539	CA6	539	distal
chr1_9022945_9023346	CA6	17000	distal
chr1_9030057_9031607	CA6	24112	distal
chr1_9046844_9047222	SLC2A7	39182	distal
chr1_9047836_9048519	SLC2A7	37885	distal
chr1_9064909_9065599	SLC2A7	20805	distal
chr1_9067747_9068209	SLC2A7	18195	distal
chr1_9070996_9071952	SLC2A7	14452	distal
chr1_9097542_9097775	SLC2A5;SLC2A7	0;-11139	distal;distal
chr1_9127248_9127633	SLC2A5	2030	distal
chr1_9129487_9130105	SLC2A5	0	promoter
chr1_9134965_9135489	SLC2A5	-5191	distal
chr1_9138917_9139019	SLC2A5	-9143	distal
chr1_9143304_9143731	SLC2A5	-13530	distal
chr1_9153570_9153961	SLC2A5	-23796	distal
chr1_9161625_9161959	GPR157	27270	distal
chr1_9170735_9171245	GPR157	17984	distal
chr1_9179764_9180093	GPR157	9136	distal
chr1_9181658_9182545	GPR157	6684	distal
chr1_9188182_9190830	GPR157	0	promoter
chr1_9191549_9192049	GPR157	-2321	distal
chr1_9195462_9195882	GPR157	-6234	distal
chr1_9202234_9202757	GPR157	-13006	distal
chr1_9203345_9203723	GPR157	-14117	distal
chr1_9223662_9224484	GPR157	-34434	distal
chr1_9241291_9242478	GPR157	-52063	distal
chr1_9256318_9256944	H6PD	-37890	distal
chr1_9293156_9295628	H6PD	0	promoter
chr1_9299656_9300335	H6PD	0	promoter
chr1_9303328_9303515	H6PD	3426	distal
chr1_9310110_9310428	H6PD	10208	distal
chr1_9327087_9327551	H6PD;SPSB1	0;-25388	distal;distal
chr1_9335473_9336144	SPSB1	-16795	distal
chr1_9349021_9350643	SPSB1	-2296	distal
chr1_9352367_9354191	SPSB1	0	promoter
chr1_9355045_9355323	SPSB1	2107	distal
chr1_9422707_9423050	SPSB1	6942	distal
chr1_9470771_9471288	SPSB1	55006	distal
chr1_9473106_9474024	SPSB1	57341	distal
chr1_9485893_9487114	SPSB1	70128	distal
chr1_9488397_9489703	SPSB1	72632	distal
chr1_9499495_9499503	SPSB1	83730	distal
chr1_9515814_9516242	SLC25A33	-83299	distal
chr1_9551031_9551538	SLC25A33	-48003	distal
chr1_9555161_9555898	SLC25A33	-43643	distal
chr1_9582458_9582988	SLC25A33	-16553	distal
chr1_9598874_9600638	SLC25A33	0	promoter
chr1_9619695_9620070	SLC25A33	20155	distal
chr1_9621480_9621924	SLC25A33	21940	distal
chr1_9648239_9650150	TMEM201	0	promoter
chr1_9651251_9652030	TMEM201	2272	distal
chr1_9653381_9654159	TMEM201	4402	distal
chr1_9675593_9676065	TMEM201	26614	distal
chr1_9686040_9691230	PIK3CD	-20560	distal
chr1_9703815_9705327	PIK3CD	-6463	distal
chr1_9711282_9715990	PIK3CD	0	promoter
chr1_9718294_9718690	PIK3CD	6492	distal
chr1_9730058_9730471	PIK3CD	18256	distal
chr1_9745752_9750197	PIK3CD	-20059	distal
chr1_9762268_9762669	PIK3CD	-7587	distal
chr1_9764017_9765226	PIK3CD	-5030	distal
chr1_9771699_9772049	PIK3CD	1444	distal
chr1_9774220_9779662	PIK3CD	3965	distal
chr1_9781520_9782425	PIK3CD	11265	distal
chr1_9784502_9785539	PIK3CD	14247	distal
chr1_9788153_9791294	CLSTN1;PIK3CD	0;17898	distal;distal
chr1_9792742_9792913	CLSTN1;PIK3CD	0;22487	distal;distal
chr1_9797296_9797493	CLSTN1;PIK3CD	0;27041	distal;distal
chr1_9844540_9845022	CLSTN1	39020	distal
chr1_9847316_9848189	CLSTN1	35853	distal
chr1_9860120_9860855	CLSTN1	23187	distal
chr1_9882776_9886398	CLSTN1	0	promoter
chr1_9887871_9888200	CLSTN1	-3288	distal
chr1_9909980_9910912	CLSTN1;CTNNBIP1	-25397;0	distal;distal
chr1_9927313_9928138	CTNNBIP1	10096	distal
chr1_9934832_9935509	CTNNBIP1	2725	distal
chr1_9942216_9942887	CTNNBIP1	-3983	distal
chr1_9952969_9953709	CTNNBIP1	0	promoter
chr1_9960285_9961158	CTNNBIP1	-6991	distal
chr1_9969180_9971505	CTNNBIP1	0	promoter
chr1_10002383_10004114	LZIC;NMNAT1	0;0	promoter;promoter
chr1_10010098_10011640	NMNAT1	6613	distal
chr1_10021274_10021500	NMNAT1	17789	distal
chr1_10051017_10051559	RBP7	-5715	distal
chr1_10056874_10058111	RBP7	0	promoter
chr1_10082802_10083075	UBE4B	-9815	distal
chr1_10089097_10089609	UBE4B	-3281	distal
chr1_10092299_10094011	UBE4B	0	promoter
chr1_10115714_10116462	UBE4B	22061	distal
chr1_10127068_10127416	UBE4B	33415	distal
chr1_10134390_10134831	UBE4B	40737	distal
chr1_10208058_10208606	KIF1B;UBE4B	-62257;0	distal;distal
chr1_10249831_10249982	KIF1B	-20881	distal
chr1_10268539_10269127	KIF1B	-1736	distal
chr1_10269713_10271894	KIF1B	0	promoter
chr1_10276142_10276549	KIF1B	4469	distal
chr1_10367928_10368456	KIF1B	75542	distal
chr1_10384716_10385068	KIF1B;PGD	0;-74069	distal;distal
chr1_10437360_10438969	KIF1B;PGD	0;-20168	distal;distal
chr1_10447851_10448832	PGD	-10305	distal
chr1_10458165_10460996	PGD	0	promoter
chr1_10475016_10475893	APITD1-CORT;PGD	-14266;0	distal;distal
chr1_10488009_10488591	APITD1-CORT	-1568	distal
chr1_10489806_10491535	APITD1-CORT;CENPS	0;0	promoter;promoter
chr1_10531852_10533139	DFFA	0	promoter
chr1_10534536_10535814	PEX14	0	promoter
chr1_10544566_10545004	PEX14	9623	distal
chr1_10554496_10556597	PEX14	19553	distal
chr1_10557287_10557495	PEX14	22344	distal
chr1_10558257_10558525	PEX14	23314	distal
chr1_10567359_10567945	PEX14	32416	distal
chr1_10570494_10571831	PEX14	35551	distal
chr1_10573408_10573539	PEX14	38465	distal
chr1_10574441_10574823	PEX14	39498	distal
chr1_10585048_10585928	PEX14	50105	distal
chr1_10752191_10752891	CASZ1	103814	distal
chr1_10753428_10755640	CASZ1	101065	distal
chr1_10815879_10816425	CASZ1	40280	distal
chr1_10926887_10927767	CASZ1	-70181	distal
chr1_10963762_10964195	C1orf127	77899	distal
chr1_10964739_10965321	C1orf127	76773	distal
chr1_10969897_10970397	C1orf127	71697	distal
chr1_10977771_10978471	C1orf127	63623	distal
chr1_10992241_10992473	C1orf127	49621	distal
chr1_10997609_10997747	C1orf127	44347	distal
chr1_10999984_11000630	C1orf127	41464	distal
chr1_11001974_11002470	C1orf127	39624	distal
chr1_11020963_11021508	C1orf127	20586	distal
chr1_11024968_11026389	C1orf127	15705	distal
chr1_11071720_11073607	RP4-635E18.9;TARDBP	0;0	promoter;promoter
chr1_11097580_11098270	MASP2	9010	distal
chr1_11111918_11112245	MASP2	-4629	distal
chr1_11119302_11121685	SRM	0	promoter
chr1_11122988_11123434	SRM	-2908	distal
chr1_11159241_11160418	EXOSC10	0	promoter
chr1_11301698_11302194	MTOR	20370	distal
chr1_11306381_11306579	MTOR	15985	distal
chr1_11322039_11323245	MTOR	0	promoter
chr1_11332480_11334166	UBIAD1	0	promoter
chr1_11340907_11341526	UBIAD1	7323	distal
chr1_11395387_11396090	UBIAD1	61803	distal
chr1_11397560_11397953	UBIAD1	63976	distal
chr1_11538612_11539591	DISP3	0	promoter
chr1_11540145_11540509	DISP3	851	distal
chr1_11561524_11561967	DISP3	22230	distal
chr1_11702367_11702906	FBXO44	-11526	distal
